time	u0	u1	u2	u3	u4	u5	u6	u7	t0	t1	t2	t3	tgpu	clf0	clf4	v	a	w		
511049673.1	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.709	3.554		
511049673.4	0	0	0	0	0.4	0.454545455	0	0	58	59	61	61	56	1400000	1900000	5.009	0.733	3.672		
511049673.8	0	0.888888889	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.014	0.818	4.107		
511049674.2	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.006	0.732	3.664		
511049674.6	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.755	3.783		
511049674.9	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.759	3.805		
511049675.3	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.779	3.908		
511049675.6	0	1	0	0	0	0	0	0	60	59	62	62	57	1400000	1900000	5.009	0.762	3.817		
511049676	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.019	0.861	4.325		
511049676.5	0	1	0	0	0.090909091	0	0	0	59	59	61	62	57	1400000	1900000	5.012	0.78	3.908		
511049676.9	0	1	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.763	3.825		
511049677.3	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.759	3.805		
511049677.7	0	1	0	0	0.272727273	0.181818182	0	0	61	59	62	63	57	1400000	1900000	5.011	0.757	3.794		
511049678	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.859	4.313		
511049678.3	0	1	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.766	3.84		
511049678.7	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.009	0.758	3.802		
511049679.2	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.767	3.844		
511049679.5	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.009	0.757	3.794		
511049680	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.849	4.263		
511049680.2	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.78	3.908		
511049680.7	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.763	3.825		
511049681.1	0	1	0	0	0.090909091	0.090909091	0	0	60	59	61	62	57	1400000	1900000	5.014	0.792	3.977		
511049681.5	0	1	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.77	3.859		
511049681.9	0	1	0	0	0	0	0	0	61	59	62	63	58	1400000	1900000	5.014	0.786	3.943		
