time v a w
512778673.02 V:4.983 A:0.396 W:1.973
512778673.22 V:4.983 A:0.396 W:1.973
512778673.42 V:4.983 A:0.395 W:1.970
512778673.62 V:4.983 A:0.396 W:1.977
512778673.82 V:4.983 A:0.397 W:1.977
512778674.02 V:4.983 A:0.397 W:1.977
512778674.22 V:4.983 A:0.395 W:1.970
512778674.42 V:4.983 A:0.395 W:1.966
512778674.62 V:4.983 A:0.395 W:1.966
512778674.82 V:4.981 A:0.396 W:1.973
512778675.02 V:4.981 A:0.395 W:1.966
512778675.22 V:4.983 A:0.396 W:1.973
512778675.42 V:4.983 A:0.396 W:1.973
512778675.62 V:4.981 A:0.394 W:1.966
512778675.82 V:4.989 A:0.447 W:2.233
512778676.02 V:4.990 A:0.449 W:2.244
512778676.22 V:4.990 A:0.449 W:2.244
512778676.42 V:4.989 A:0.435 W:2.172
512778676.62 V:4.989 A:0.435 W:2.172
512778676.82 V:4.987 A:0.435 W:2.168
512778677.02 V:4.987 A:0.435 W:2.168
512778677.22 V:4.989 A:0.445 W:2.221
512778677.42 V:4.987 A:0.434 W:2.168
512778677.62 V:4.987 A:0.434 W:2.168
512778677.82 V:4.987 A:0.434 W:2.168
512778678.02 V:4.987 A:0.434 W:2.168
512778678.22 V:4.987 A:0.434 W:2.164
512778678.42 V:4.987 A:0.434 W:2.164
512778678.62 V:4.987 A:0.434 W:2.164
512778678.82 V:4.987 A:0.434 W:2.164
512778679.02 V:4.986 A:0.418 W:2.084
512778679.22 V:4.986 A:0.418 W:2.084
512778679.42 V:4.983 A:0.383 W:1.912
512778679.62 V:4.981 A:0.383 W:1.908
512778679.82 V:4.983 A:0.384 W:1.912
512778680.02 V:4.983 A:0.384 W:1.912
512778680.22 V:4.983 A:0.383 W:1.908
512778680.42 V:4.981 A:0.383 W:1.908
512778680.62 V:4.985 A:0.408 W:2.034
512778680.82 V:4.985 A:0.408 W:2.034
512778681.02 V:4.985 A:0.414 W:2.061
512778681.22 V:4.984 A:0.412 W:2.050
512778681.42 V:4.984 A:0.412 W:2.050
512778681.62 V:4.986 A:0.422 W:2.107
512778681.82 V:4.985 A:0.408 W:2.034
512778682.02 V:4.984 A:0.405 W:2.019
512778682.22 V:4.984 A:0.405 W:2.019
512778682.42 V:4.986 A:0.423 W:2.107
512778682.62 V:4.985 A:0.417 W:2.080
512778682.82 V:4.984 A:0.396 W:1.973
512778683.02 V:4.984 A:0.396 W:1.973
512778683.22 V:4.983 A:0.384 W:1.912
512778683.42 V:4.983 A:0.384 W:1.912
512778683.62 V:4.983 A:0.383 W:1.912
512778683.82 V:4.983 A:0.383 W:1.912
512778684.02 V:4.983 A:0.383 W:1.912
512778684.22 V:4.981 A:0.383 W:1.908
512778684.42 V:4.981 A:0.383 W:1.908
512778684.62 V:4.981 A:0.383 W:1.912
512778684.82 V:4.983 A:0.383 W:1.912
512778685.02 V:4.983 A:0.383 W:1.908
512778685.22 V:4.983 A:0.383 W:1.908
512778685.42 V:4.981 A:0.383 W:1.908
512778685.62 V:4.983 A:0.383 W:1.908
512778685.82 V:4.983 A:0.383 W:1.908
512778686.02 V:4.983 A:0.383 W:1.908
512778686.22 V:4.981 A:0.383 W:1.908
512778686.42 V:4.983 A:0.383 W:1.908
512778686.62 V:4.981 A:0.383 W:1.912
512778686.82 V:4.981 A:0.383 W:1.912
512778687.02 V:4.981 A:0.383 W:1.908
512778687.22 V:4.981 A:0.383 W:1.912
512778687.42 V:4.981 A:0.383 W:1.908
512778687.62 V:4.981 A:0.383 W:1.908
512778687.82 V:4.981 A:0.383 W:1.912
512778688.02 V:4.983 A:0.384 W:1.916
512778688.22 V:4.983 A:0.384 W:1.916
512778688.42 V:4.981 A:0.383 W:1.908
512778688.62 V:4.981 A:0.383 W:1.912
512778688.82 V:4.983 A:0.383 W:1.908
512778689.02 V:4.983 A:0.383 W:1.908
512778689.22 V:4.981 A:0.383 W:1.908
512778689.42 V:4.981 A:0.383 W:1.908
512778689.62 V:4.983 A:0.383 W:1.908
512778689.82 V:4.983 A:0.383 W:1.908
512778690.02 V:4.983 A:0.383 W:1.912
512778690.22 V:4.981 A:0.383 W:1.908
512778690.42 V:4.981 A:0.383 W:1.908
512778690.62 V:4.981 A:0.383 W:1.908
512778690.82 V:4.981 A:0.383 W:1.908
512778691.02 V:4.981 A:0.383 W:1.908
512778691.22 V:4.981 A:0.383 W:1.908
512778691.42 V:4.981 A:0.383 W:1.908
512778691.62 V:4.981 A:0.383 W:1.908
512778691.82 V:4.981 A:0.383 W:1.908
512778692.02 V:4.981 A:0.383 W:1.908
512778692.22 V:4.983 A:0.384 W:1.912
512778692.42 V:4.981 A:0.383 W:1.912
512778692.62 V:4.981 A:0.384 W:1.912
512778692.82 V:4.981 A:0.384 W:1.912
